,Year,Company,Category,Market Cap(in B USD),Revenue,Gross Profit,Net Income,Earning Per Share,EBITDA,Share Holder Equity,Cash Flow from Operating,Cash Flow from Investing,Cash Flow from Financial Activities,Current Ratio,Debt/Equity Ratio,ROE,ROA,ROI,Net Profit Margin,Free Cash Flow per Share,Return on Tangible Equity,Number of Employees,Inflation Rate(in US),Total Assets,Asset Turnover,Total Debt,Operating Margin,P/E Ratio,P/B Ratio
20,2017,MSFT,IT,659.91,96571.0,62310.0,25489.0,3.25,37803.0,87711.0,39507.0,-46781.0,8408.0,2.9186,0.9827,29.0602,10.1829,15.5626,26.3941,0.8887,59.9981,124000,2.1301,173904.5997,0.5553102112686672,86193.5997,0.3914529206490561,25.88999176115187,7.523685740671067
21,2016,MSFT,IT,483.16,91154.0,58374.0,20539.0,2.56,33330.0,71997.0,33325.0,-23950.0,-8393.0,2.3529,0.7425,28.5276,10.6162,18.2481,22.5322,0.2435,40.7585,114000,1.2616,125454.7725,0.7265885401051602,53457.77250000001,0.36564495249797047,23.524027459954233,6.7108351736877925
22,2015,MSFT,IT,443.17,93580.0,60542.0,12193.0,1.48,31616.0,80083.0,29668.0,-23001.0,-9668.0,2.4734,0.4407,15.2255,6.9885,11.3012,13.0295,-0.3425,20.911,118000,0.1186,115375.57810000001,0.8110901937920603,35292.5781,0.33784996794186795,36.3462642499795,5.533883595769389
23,2014,MSFT,IT,382.88,86833.0,59755.0,22074.0,2.63,32971.0,89784.0,32502.0,-18833.0,-8665.0,2.504,0.2522,24.5857,12.8051,19.9893,25.4212,0.3152,35.2192,128000,1.6222,112427.5248,0.772346453010233,22643.5248,0.37970587219144797,17.34529310501042,4.264456918827408
24,2013,MSFT,IT,312.3,77849.0,57464.0,21863.0,2.58,30519.0,78944.0,28833.0,-23811.0,-8148.0,2.7118,0.1976,27.6943,15.3499,23.8822,28.0839,-0.5456,35.7204,118000,1.4648,94543.3344,0.823421349522447,15599.3344,0.39202815707330857,14.284407446370581,3.955968788001621
25,2012,MSFT,IT,224.8,73723.0,56193.0,16978.0,2.0,30923.0,66363.0,31626.0,-24786.0,-9408.0,2.6029,0.18,25.5835,14.0001,22.0276,23.0295,0.5798,34.1328,128000,2.0693,78308.34,0.9414450619180538,11945.34,0.41944847605224966,13.240664389209565,3.3874297424769826
26,2011,MSFT,IT,218.38,69943.0,54366.0,23150.0,2.69,29927.0,57083.0,26994.0,-14616.0,-8376.0,2.6037,0.2088,40.555,21.2964,33.5488,33.0984,0.3921,52.9046,99000,3.1568,69001.93040000001,1.0136383082986906,11918.930400000001,0.4278769855453727,9.433261339092873,3.8256573761014665
27,2010,MSFT,IT,238.78,62484.0,50089.0,18760.0,2.1,26771.0,46175.0,24073.0,-11314.0,-13291.0,2.1293,0.1286,40.628,21.7853,36.7023,30.0237,0.7057,57.5054,94000,1.64,52113.105,1.1990074281699392,5938.105,0.4284456820946162,12.72814498933902,5.171196534921494
28,2009,MSFT,IT,270.64,58437.0,46282.0,14569.0,1.62,22925.0,39558.0,19037.0,-15770.0,-7463.0,1.8229,0.1453,36.8295,18.7051,33.6435,24.9311,1.7695,57.5941,90000,-0.3555,45305.7774,1.2898354989931151,5747.777400000001,0.3923028218423259,18.576429404900818,6.84159967642449
29,2022,GOOG,IT,1144.35,282836.0,156633.0,59972.0,4.56,90770.0,256144.0,91495.0,-20298.0,-69757.0,2.378,0.0574,23.4134,16.4188,22.1426,21.2038,-0.3613,26.6424,190234,8.0028,270846.66559999995,1.0442661325493536,14702.6656,0.32092802896378114,19.081404655505903,4.46760416015991
30,2021,GOOG,IT,1910.26,257637.0,146698.0,76033.0,5.61,91155.0,251635.0,91652.0,-35523.0,-61362.0,2.9281,0.0589,30.2156,21.1633,28.5354,29.5117,1.7123,33.4561,156500,4.6979,266456.3015,0.9669015089890828,14821.3015,0.3538117584042665,25.12409085528652,7.591392294394659
31,2020,GOOG,IT,1179.4,182527.0,97795.0,40269.0,2.93,54921.0,222544.0,65124.0,-32773.0,-24408.0,3.0668,0.0626,18.0949,12.5992,17.0288,22.0619,0.843,20.1422,135301,1.2336,236475.2544,0.7718651174014763,13931.2544,0.3008924707029645,29.288037944821077,5.299626141347329
32,2019,GOOG,IT,917.82,161857.0,89961.0,34343.0,2.458,46012.0,201442.0,54520.0,-29491.0,-23209.0,3.3741,0.0226,17.0486,12.4472,16.6717,21.2181,0.5566,19.2033,118899,1.8122,205994.5892,0.7857342303435609,4552.589199999999,0.28427562601555695,26.725096817400924,4.556249441526593
33,2018,GOOG,IT,719.63,136819.0,77270.0,30736.0,2.185,36559.0,177628.0,47971.0,-28504.0,-13179.0,3.919,0.0226,17.3036,13.2032,16.9214,22.4647,-0.0705,19.5124,98771,2.4426,181642.3928,0.7532327552557984,4014.3927999999996,0.26720703995790057,23.413261322228006,4.051331997207647
34,2017,GOOG,IT,726.47,110855.0,65272.0,12662.0,0.9,33093.0,152502.0,37091.0,-31401.0,-8298.0,5.1403,0.026,8.3028,6.4178,8.0922,11.4221,-0.151,9.5158,80110,2.1301,156467.052,0.7084878163359274,3965.0519999999997,0.2985251003563213,57.37403253830359,4.76367523048878
35,2016,GOOG,IT,530.84,90272.0,55134.0,19478.0,1.3925,29860.0,139036.0,36036.0,-31165.0,-8332.0,6.2908,0.0283,14.0093,11.6289,13.6237,21.577,0.6249,16.3323,72053,1.2616,142970.7188,0.6314020154454172,3934.7187999999996,0.3307780928748671,27.25331142827806,3.8180039701947703
36,2015,GOOG,IT,521.67,74989.0,46825.0,15826.0,1.142,24423.0,120331.0,26572.0,-23711.0,-4225.0,4.6667,0.0434,13.5859,11.0863,13.3643,21.1044,0.3054,16.2481,61814,0.1186,125553.36540000001,0.5972679406967134,5222.3654,0.3256877675392391,32.962845949703016,4.335291820062992
37,2014,GOOG,IT,354.75,66001.0,40310.0,14136.0,1.0285,21475.0,103860.0,23024.0,-21055.0,-2087.0,4.6878,0.0504,13.1138,10.5429,12.7185,21.4179,0.0463,16.2814,53600,1.6222,109094.544,0.6049890084329057,5234.544,0.3253738579718489,25.095500848896435,3.4156556903523976
38,2013,GOOG,IT,371.53,55519.0,33526.0,12733.0,0.9395,19342.0,87309.0,18659.0,-13679.0,-857.0,4.5817,0.0601,15.0729,11.8644,14.6965,22.9345,-0.2373,18.8671,47756,1.4648,92556.2709,0.5998405020010372,5247.2709,0.348385237486266,29.17851252650593,4.255345955170715
39,2012,GOOG,IT,230.54,46039.0,28863.0,10737.0,0.808,16796.0,71715.0,16619.0,-13056.0,1229.0,4.2166,0.0772,16.1096,12.3169,15.4652,23.3215,0.1539,21.512,53861,2.0693,77251.398,0.5959633248319985,5536.398,0.3648211299115967,21.47154698705411,3.2146691766018267
40,2011,GOOG,IT,207.65,37905.0,24717.0,9737.0,0.744,13593.0,58145.0,14565.0,-19041.0,807.0,5.9192,0.0723,16.7461,13.4167,15.9281,25.6879,0.3039,19.7822,32467,3.1568,62348.8835,0.6079499402743915,4203.8835,0.3586070439256035,21.32587039129095,3.5712443030355145
41,2010,GOOG,IT,188.54,29321.0,18904.0,8505.0,0.6578,11777.0,46241.0,11081.0,-10680.0,3050.0,4.1579,0.0749,18.3928,14.7016,18.3928,29.0065,-0.1195,21.8407,24400,1.64,49704.450899999996,0.5899069292404154,3463.4509,0.4016575150915726,22.16813639035861,4.07733396769101
